iter,x_n,y_n,x_next,y_next,error_norm
0,1.5,3.5,2.179449472,2.386512991,1.304417458
1,2.179449472,2.386512991,2.19059707,3.416515476,1.030062808
2,2.19059707,3.416515476,1.586124588,3.30299645,0.615039471
3,1.586124588,3.30299645,2.181979862,2.519758531,0.98412659
4,2.181979862,2.519758531,2.121776998,3.345247683,0.827681536
5,2.121776998,3.345247683,1.703564033,3.149774966,0.461640193
6,1.703564033,3.149774966,2.152709144,2.670834029,0.656594054
7,2.152709144,2.670834029,2.061667084,3.2535896,0.589824307
8,2.061667084,3.2535896,1.814436942,3.046450433,0.322535855
9,1.814436942,3.046450433,2.114806798,2.804019374,0.385998535
10,2.114806798,2.804019374,2.017434204,3.171816679,0.3804685
11,2.017434204,3.171816679,1.897648161,2.991030645,0.216869283
12,1.897648161,2.991030645,2.079441318,2.899432701,0.203565555
13,2.079441318,2.899432701,1.992686589,3.109150496,0.2269536
14,1.992686589,3.109150496,1.950496732,2.96980743,0.14559009
15,1.950496732,2.96980743,2.05119485,2.957204409,0.101483728
16,2.05119485,2.957204409,1.983481168,3.065063594,0.127352842
17,1.983481168,3.065063594,1.980026283,2.96771139,0.097413489
18,1.980026283,2.96771139,2.03072732,2.987446782,0.054406625
19,2.03072732,2.987446782,1.983257473,3.036012143,0.067911565
20,1.983257473,3.036012143,1.99469452,2.973744907,0.063308884
21,1.99469452,2.973744907,2.016999586,3.000927644,0.035162724
22,2.016999586,3.000927644,1.98673858,3.018080498,0.034784319
23,1.98673858,3.018080498,2.000965526,2.981604271,0.039152536
24,2.000965526,2.981604271,2.008460266,3.005488794,0.025032809
25,2.008460266,3.005488794,1.990877992,3.007806924,0.017734433
26,1.990877992,3.007806924,2.002953667,2.988440441,0.022822852
27,2.002953667,2.988440441,2.003569879,3.005909339,0.017479763
28,2.003569879,3.005909339,1.99435468,3.002441764,0.009846013
29,1.99435468,3.002441764,2.003014283,2.993414298,0.012509351
30,2.003014283,2.993414298,2.001036833,3.00477652,0.011533013
31,2.001036833,3.00477652,1.996830366,2.999986265,0.006375022
32,1.996830366,2.999986265,2.002382663,2.996630926,0.006487396
33,2.002382663,2.996630926,1.999899544,3.003338057,0.007152027
34,1.999899544,3.003338057,1.998405762,2.999105914,0.004488031
35,1.998405762,2.999105914,2.001641692,2.998515529,0.003289346
36,2.001641692,2.998515529,1.999511516,3.00210163,0.004171063
37,1.999511516,3.00210163,1.999315688,2.998982453,0.003125318
38,1.999315688,2.998982453,2.001021573,2.999512855,0.001786441
39,2.001021573,2.999512855,1.999477449,3.001204441,0.002290368
40,1.999477449,3.001204441,1.999789839,2.999157957,0.00207019
41,1.999789839,2.999157957,2.000578515,2.999975856,0.001136208
42,2.000578515,2.999975856,1.999578145,3.000622475,0.001191157
43,1.999578145,3.000622475,2.000005219,2.999402987,0.001292109
44,2.000005219,2.999402987,2.000294571,3.000147081,0.000798373
45,2.000294571,3.000147081,1.999705499,3.000279209,0.000603709
46,1.999705499,3.000279209,2.000081291,2.999620006,0.000758794
47,2.000081291,2.999620006,2.000129033,3.000176666,0.000558704
48,2.000129033,3.000176666,1.999814878,3.000095719,0.000324416
49,1.999814878,3.000095719,2.000090984,2.999780038,0.000419391
50,2.000090984,2.999780038,2.000041748,3.000149072,0.000372304
51,2.000041748,3.000149072,1.999894149,3.000009201,0.000203345
52,1.999894149,3.000009201,2.000074786,2.999885012,0.00021921
53,2.000074786,2.999885012,2.000001407,3.000106941,0.000233746
54,2.000001407,3.000106941,1.999945474,2.999976175,0.000142226
55,1.999945474,2.999976175,2.000052806,2.999947532,0.000111089
56,2.000052806,2.999947532,1.99998663,3.000068707,0.000138068
57,1.99998663,3.000068707,1.999975674,2.999969478,9.98E-05
58,1.999975674,2.999969478,2.000033505,2.999981304,5.90E-05
59,2.000033505,2.999981304,1.99998422,3.000040137,7.67E-05
60,1.99998422,3.000040137,1.999991767,2.999973675,6.69E-05
61,1.999991767,2.999973675,2.000019337,2.99999746,3.64E-05
62,2.000019337,2.99999746,1.999986767,3.000021211,4.03E-05
63,1.999986767,3.000021211,1.999999319,2.999980873,4.22E-05
64,1.999999319,2.999980873,2.000010074,3.000003805,2.53E-05
65,2.000010074,3.000003805,1.999990542,3.000009836,2.04E-05
66,1.999990542,3.000009836,2.000002176,2.99998759,2.51E-05
67,2.000002176,2.99998759,2.000004573,3.000005258,1.78E-05
68,2.000004573,3.000005258,1.999993941,3.000003629,1.08E-05
69,1.999993941,3.000003629,2.00000273,2.999992683,1.40E-05
70,2.00000273,2.999992683,2.000001611,3.000004642,1.20E-05
71,2.000001611,3.000004642,1.99999647,3.000000618,6.53E-06
72,1.99999647,3.000000618,2.000002338,2.999996092,7.41E-06
73,2.000002338,2.999996092,2.0000002,3.000003418,7.63E-06
74,2.0000002,3.000003418,1.999998141,2.999999404,4.51E-06
75,1.999998141,2.999999404,2.000001692,2.99999816,3.76E-06
76,2.000001692,2.99999816,1.999999651,3.000002239,4.56E-06
77,1.999999651,3.000002239,1.999999142,2.999999098,3.18E-06
78,1.999999142,2.999999098,2.000001095,2.999999299,1.96E-06
79,2.000001095,2.999999299,1.999999529,3.000001333,2.57E-06
80,1.999999529,3.000001333,1.999999687,2.999999183,2.16E-06
81,1.999999687,2.999999183,2.000000644,2.99999986,1.17E-06
82,2.000000644,2.99999986,1.999999587,3.000000719,1.36E-06
83,1.999999587,3.000000719,1.99999995,2.99999939,1.38E-06
84,1.99999995,2.99999939,2.000000343,3.000000091,8.04E-07
